,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
608,0.269,0.174,2,-19.609,1,0.0477,0.989,0.932,0.453,0.482,100.114,audio_features,6kjMfRBEqmySWZiqndkzhC,spotify:track:6kjMfRBEqmySWZiqndkzhC,https://api.spotify.com/v1/tracks/6kjMfRBEqmySWZiqndkzhC,https://api.spotify.com/v1/audio-analysis/6kjMfRBEqmySWZiqndkzhC,97560,4
609,0.3,0.1,0,-20.645,1,0.0414,0.904,0.86,0.0585,0.0902,138.246,audio_features,6RTOBuWTqG7rc60K6xa9fP,spotify:track:6RTOBuWTqG7rc60K6xa9fP,https://api.spotify.com/v1/tracks/6RTOBuWTqG7rc60K6xa9fP,https://api.spotify.com/v1/audio-analysis/6RTOBuWTqG7rc60K6xa9fP,620813,4
610,0.23,0.0284,7,-34.486,1,0.037,0.995,0.00881,0.106,0.349,155.804,audio_features,7ulFzeemDntVFHFQyJIRFB,spotify:track:7ulFzeemDntVFHFQyJIRFB,https://api.spotify.com/v1/tracks/7ulFzeemDntVFHFQyJIRFB,https://api.spotify.com/v1/audio-analysis/7ulFzeemDntVFHFQyJIRFB,183800,4
611,0.38,0.125,9,-19.054,0,0.0446,0.949,0.0654,0.163,0.277,119.9,audio_features,2lO99iwS0Gg1HJIzfb7pnz,spotify:track:2lO99iwS0Gg1HJIzfb7pnz,https://api.spotify.com/v1/tracks/2lO99iwS0Gg1HJIzfb7pnz,https://api.spotify.com/v1/audio-analysis/2lO99iwS0Gg1HJIzfb7pnz,640400,4
612,0.454,0.00719,8,-28.267,1,0.0644,0.995,0.916,0.118,0.151,135.137,audio_features,1RExWN6ZhUKNEp86lIF6r4,spotify:track:1RExWN6ZhUKNEp86lIF6r4,https://api.spotify.com/v1/tracks/1RExWN6ZhUKNEp86lIF6r4,https://api.spotify.com/v1/audio-analysis/1RExWN6ZhUKNEp86lIF6r4,376453,3
613,0.345,0.162,10,-19.301,1,0.0363,0.899,0.892,0.118,0.223,132.834,audio_features,4UxYzsmPu7HZ791dBjefLc,spotify:track:4UxYzsmPu7HZ791dBjefLc,https://api.spotify.com/v1/tracks/4UxYzsmPu7HZ791dBjefLc,https://api.spotify.com/v1/audio-analysis/4UxYzsmPu7HZ791dBjefLc,613390,4
614,0.346,0.027,4,-25.968,1,0.0535,0.987,1.75e-05,0.103,0.124,90.07,audio_features,2aJNtiJ9Xki6hEEsoQYJtX,spotify:track:2aJNtiJ9Xki6hEEsoQYJtX,https://api.spotify.com/v1/tracks/2aJNtiJ9Xki6hEEsoQYJtX,https://api.spotify.com/v1/audio-analysis/2aJNtiJ9Xki6hEEsoQYJtX,277107,4
615,0.229,0.0513,6,-29.003,1,0.0494,0.987,0.0473,0.0938,0.0377,139.043,audio_features,7nzAkHqcZ7DHo1b2FTiiCb,spotify:track:7nzAkHqcZ7DHo1b2FTiiCb,https://api.spotify.com/v1/tracks/7nzAkHqcZ7DHo1b2FTiiCb,https://api.spotify.com/v1/audio-analysis/7nzAkHqcZ7DHo1b2FTiiCb,219267,4
616,0.308,0.0305,5,-23.064,1,0.0498,0.982,1.77e-05,0.0615,0.0827,66.206,audio_features,2Ww6HxajSH22Av0oKkItqf,spotify:track:2Ww6HxajSH22Av0oKkItqf,https://api.spotify.com/v1/tracks/2Ww6HxajSH22Av0oKkItqf,https://api.spotify.com/v1/audio-analysis/2Ww6HxajSH22Av0oKkItqf,183600,4
617,0.352,0.25,0,-13.6,1,0.038,0.93,0.931,0.0643,0.146,122.866,audio_features,4Ocxw6uK427Z38HATp2ghs,spotify:track:4Ocxw6uK427Z38HATp2ghs,https://api.spotify.com/v1/tracks/4Ocxw6uK427Z38HATp2ghs,https://api.spotify.com/v1/audio-analysis/4Ocxw6uK427Z38HATp2ghs,809333,4
618,0.356,0.0804,4,-18.066,1,0.0627,0.991,0.000529,0.0779,0.237,167.192,audio_features,5lr5TbocNLOgf4FAH2Wi3d,spotify:track:5lr5TbocNLOgf4FAH2Wi3d,https://api.spotify.com/v1/tracks/5lr5TbocNLOgf4FAH2Wi3d,https://api.spotify.com/v1/audio-analysis/5lr5TbocNLOgf4FAH2Wi3d,140773,3
619,0.258,0.0261,10,-23.931,1,0.0438,0.978,0.00208,0.0573,0.0675,81.213,audio_features,0WuQ2Hqo9YcIxTy1asfNxL,spotify:track:0WuQ2Hqo9YcIxTy1asfNxL,https://api.spotify.com/v1/tracks/0WuQ2Hqo9YcIxTy1asfNxL,https://api.spotify.com/v1/audio-analysis/0WuQ2Hqo9YcIxTy1asfNxL,690307,3
620,0.28,0.121,0,-25.093,1,0.0406,0.991,0.895,0.106,0.14,101.196,audio_features,1kbkxiArBp3r8HRs1QEWZg,spotify:track:1kbkxiArBp3r8HRs1QEWZg,https://api.spotify.com/v1/tracks/1kbkxiArBp3r8HRs1QEWZg,https://api.spotify.com/v1/audio-analysis/1kbkxiArBp3r8HRs1QEWZg,536013,4
